f	m	p	d	mean	sd
0.3	2	3	3	4.849488194378035	0.08879416457559977
0.3	2	3	4	4.821126049751004	0.09514743547770516
0.3	2	3	5	4.834364864437137	0.0858610151039189
0.3	2	4	1	6.000000434294259	8.881784197001252e-16
0.3	2	4	2	5.777964140692404	0.05245840918236052
0.3	2	4	3	5.026175692606176	0.10574546491682556
0.3	2	4	4	4.945039722445368	0.06890342233882718
0.3	2	4	5	4.920473973296504	0.07392644079090749
0.3	2	5	1	6.000000434294259	8.881784197001252e-16
0.3	2	5	2	6.000000434294259	8.881784197001252e-16
0.3	2	5	3	5.639560365056861	0.06348054635020356
0.3	2	5	4	4.999644960490928	0.08651734375149558
0.3	2	5	5	4.960940523827515	0.09446535449498625
0.3	3	3	1	5.8428280780720465	0.01900056176734037
0.3	3	3	2	5.096026345268298	0.04645857507751189
0.3	3	3	3	4.887711856329606	0.0651397509976786
0.3	3	3	4	4.873882230630123	0.061348266760791206
0.3	3	3	5	4.859440751792932	0.06233867120681688
0.3	3	4	1	6.000000434294259	8.881784197001252e-16
0.3	3	4	2	5.863861326189947	0.01681210021953605
0.3	3	4	3	5.156548374141546	0.048449531765644496
0.3	3	4	4	5.010113564397548	0.06851359278343563
0.3	3	4	5	4.958027781529743	0.06247897697487827
0.3	3	5	1	6.000000434294259	8.881784197001252e-16
0.3	3	5	2	6.000000434294259	8.881784197001252e-16
0.3	3	5	3	5.862867401638926	0.019487336269898316
0.3	3	5	4	5.198125289779475	0.054622789168638386
0.3	3	5	5	5.070933163755087	0.04571718011141869
0.4	1	3	1	5.349803141780546	0.1574179534915254
0.4	1	3	2	4.6702395423385745	0.12439643983970589
0.4	1	3	3	4.630953595024269	0.134288449227242
0.4	1	3	4	4.542046250395963	0.18323746764554094
0.4	1	3	5	4.631019799414301	0.18161048419937
0.4	1	4	1	5.90617829055837	0.07160728029948199
0.4	1	4	2	5.015349948590686	0.07862572374783185
0.4	1	4	3	4.658050521187109	0.10718313048651364
0.4	1	4	4	4.604707733084807	0.143708976703754
0.4	1	4	5	4.590031020953696	0.15293550408019893
0.4	1	5	1	6.000000434294259	8.881784197001252e-16
0.4	1	5	2	5.800620325107808	0.0442666996313062
0.4	1	5	3	4.955153414527398	0.07859086457642904
0.4	1	5	4	4.6653263111873535	0.14984401949051673
0.4	1	5	5	4.639681345865942	0.1681196867190577
0.4	2	3	1	5.788276581044151	0.06577527250760924
0.4	2	3	2	4.990978915115596	0.10635531005172204
0.4	2	3	3	4.793948991967105	0.13343929400696328
0.4	2	3	4	4.800344551711649	0.11885082580945207
0.4	2	3	5	4.782315502092825	0.11871183486055846
0.4	2	4	1	6.000000434294259	8.881784197001252e-16
0.4	2	4	2	5.667173816405608	0.10203024878484682
0.4	2	4	3	4.9497657339719145	0.0885828890556786
0.4	2	4	4	4.840439303765599	0.09734131903219327
0.4	2	4	5	4.862550106593567	0.08477728611942709
0.4	2	5	1	6.000000434294259	8.881784197001252e-16
0.4	2	5	2	6.000000434294259	8.881784197001252e-16
0.4	2	5	3	5.314971903228997	0.09533970593618181
0.4	2	5	4	4.901174405860872	0.10629934978148342
0.4	2	5	5	4.8630423424169935	0.10974040591146744
0.4	3	3	1	5.84519794620191	0.01602990310221154
0.4	3	3	2	5.093377534764168	0.04107959005443298
0.4	3	3	3	4.864482589011453	0.07279245864437575
0.4	3	3	4	4.847607472244466	0.0543131545366681
0.4	3	3	5	4.862210075375455	0.06969670623684401
0.4	3	4	1	6.000000434294259	8.881784197001252e-16
0.4	3	4	2	5.854574628715756	0.03495102304327181
0.4	3	4	3	5.123861948787059	0.07546489835349529
0.4	3	4	4	4.985653745686401	0.06114686980648105
0.4	3	4	5	4.966430272818521	0.05939878139621421
0.4	3	5	1	6.000000434294259	8.881784197001252e-16
0.4	3	5	2	6.000000434294259	8.881784197001252e-16
0.4	3	5	3	5.827392554250444	0.04087549276176144
