f	m	p	d	mean	sd
0.3	2	3	4	9.24	3.0825963083089554
0.3	2	3	5	10.54	3.7747052865091337
0.3	2	4	1	14.86	4.3543541426944135
0.3	2	4	2	40.96	5.01980079286021
0.3	2	4	3	36.1	8.697700845625814
0.3	2	4	4	34.76	7.931103328037027
0.3	2	4	5	35.36	9.711354179515853
0.3	2	5	1	13.82	3.9683245834986836
0.3	2	5	2	56.38	8.602069518435666
0.3	2	5	3	116.72	13.94853397314571
0.3	2	5	4	60.1	25.92006944435142
0.3	2	5	5	54.08	30.067151511242297
0.3	3	3	1	0.88	0.9086253353280438
0.3	3	3	2	1.14	1.1663618649458667
0.3	3	3	3	0.96	0.9583318840568752
0.3	3	3	4	0.86	0.8946507698538018
0.3	3	3	5	0.68	0.705407683541936
0.3	3	4	1	1.1	1.02469507659596
0.3	3	4	2	3.82	1.8186808406094785
0.3	3	4	3	4.58	1.9605101376937586
0.3	3	4	4	4.22	2.220720603768065
0.3	3	4	5	4.56	1.961224107541002
0.3	3	5	1	1.22	0.9856977224281286
0.3	3	5	2	5.22	2.1843992309099542
0.3	3	5	3	15.16	3.54039545813741
0.3	3	5	4	14.64	3.5931045072471806
0.3	3	5	5	14.62	4.063938975919791
0.4	1	3	1	58.82	16.986688906317205
0.4	1	3	2	25.58	10.442394361447953
0.4	1	3	3	23.42	13.093647314633154
0.4	1	3	4	22.74	13.776516250489454
0.4	1	3	5	20.72	12.941468232005207
0.4	1	4	1	86.84	31.579335015164585
0.4	1	4	2	84.34	24.35127101405592
0.4	1	4	3	25.9	14.213022197970423
0.4	1	4	4	20.96	13.564600989339864
0.4	1	4	5	21.24	12.725659118489698
0.4	1	5	1	74.78	36.69293664998756
0.4	1	5	2	232.54	72.0447666385283
0.4	1	5	3	82.44	24.769465072948186
0.4	1	5	4	25.8	15.215781281288189
0.4	1	5	5	19.14	14.721426561308519
0.4	2	3	1	9.62	2.904410439314664
0.4	2	3	2	9.34	2.672901045680517
0.4	2	3	3	9.68	2.8315366852647346
0.4	2	3	4	9.86	2.653375209049787
0.4	2	3	5	9.78	3.288099755177753
0.4	2	4	1	15.08	5.287116416346438
0.4	2	4	2	43.54	5.93703629768254
0.4	2	4	3	29.14	10.39809597955318
0.4	2	4	4	23.86	10.851746403229297
0.4	2	4	5	26.02	11.270297245414604
0.4	2	5	1	16.08	4.511496425799316
0.4	2	5	2	73.08	13.242114634755282
0.4	2	5	3	96.84	17.134012956689396
0.4	2	5	4	34.82	17.760281529300148
0.4	2	5	5	24.48	15.830653808355484
0.4	3	3	1	0.7	0.8544003745317531
0.4	3	3	2	0.86	0.98
0.4	3	3	3	1.02	1.1223190277278559
0.4	3	3	4	0.92	0.8681013765684283
0.4	3	3	5	1.28	1.0007996802557442
0.4	3	4	1	1.3	1.0816653826391966
0.4	3	4	2	4.86	1.8221964767828962
0.4	3	4	3	4.78	1.8578482176970215
0.4	3	4	4	5.18	2.2600000000000002
0.4	3	4	5	4.26	2.1148049555455466
0.4	3	5	1	1.04	0.9372299611087984
0.4	3	5	2	5.7	2.7658633371878665
0.4	3	5	3	20.32	4.225825363168715
0.4	3	5	4	17.94	4.305391968218458
0.4	3	5	5	17.78	5.288818393554462
0.5	1	3	1	41.12	14.637814044453496
0.5	1	3	2	15.32	8.39866656082976
0.5	1	3	3	12.42	7.602867879951617
0.5	1	3	4	13.86	8.802295155242183
0.5	1	3	5	14.26	9.610015608728217
0.5	1	4	1	89.96	45.94952012807098
0.5	1	4	2	55.94	20.626594483821123
0.5	1	4	3	15.32	10.076586723687738
0.5	1	4	4	12.36	8.461111038155686
0.5	1	4	5	11.14	7.678567574749864
0.5	1	5	1	76.62	36.62233744588131
0.5	1	5	2	225.84	60.17918577049709
0.5	1	5	3	52.26	20.06370853057829
0.5	1	5	4	13.12	9.904827106012503
0.5	1	5	5	11.24	8.67077851176006
0.5	2	3	1	9.3	2.9546573405388314
0.5	2	3	2	9.92	3.2114794098670476
0.5	2	3	3	8.74	2.7262428358456994
0.5	2	3	4	8.18	3.109276443161656
0.5	2	3	5	8.2	2.7202941017470885
0.5	2	4	1	17.58	7.266608562458831
0.5	2	4	2	41.2	6.315061361538778
0.5	2	4	3	20.22	10.282587223067937
0.5	2	4	4	15.22	7.080367222114966
0.5	2	4	5	17.72	9.812318788135656
0.5	2	5	1	16.08	5.972738065577628
0.5	2	5	2	105.84	15.90894088240949
0.5	2	5	3	57.82	17.897139436233935
0.5	2	5	4	19.06	9.778363871323261
0.5	2	5	5	15.6	10.601886624558857
0.5	3	3	1	0.96	0.9991996797437437
0.5	3	3	2	1.04	0.8475848040166837
0.5	3	3	3	0.84	0.7578918128598566
0.5	3	3	4	1.06	0.9035485598461215
0.5	3	3	5	1.0	0.916515138991168
0.5	3	4	1	1.16	0.9871170143402452
0.5	3	4	2	5.18	2.160462913359079
0.5	3	4	3	5.1	2.1931712199461306
0.5	3	4	4	5.14	2.078557191900189
0.5	3	4	5	5.62	2.8767342595380616
0.5	3	5	1	1.22	1.1881077392223316
0.5	3	5	2	6.92	2.448182999695897
0.5	3	5	3	25.94	4.645040365809538
0.5	3	5	4	17.54	6.530574247338437
0.5	3	5	5	15.84	6.842104939271247
0.6	1	3	1	30.92	13.481602278661095
0.6	1	3	2	10.24	6.742581108151387
0.6	1	3	3	10.16	6.401124901140424
0.6	1	3	4	8.44	6.493566046480162
0.6	1	3	5	10.16	5.981170454016505
0.6	1	4	1	94.84	42.19874879661718
0.6	1	4	2	34.36	14.178518963558924
0.6	1	4	3	8.84	6.444718768107729
0.6	1	4	4	7.24	5.687037893314937
0.6	1	4	5	8.36	6.455261419958141
0.6	1	5	1	86.54	45.21159585770005
0.6	1	5	2	166.74	47.32982569162916
0.6	1	5	3	30.6	13.569082503986776
0.6	1	5	4	5.76	6.361006209712423
