f	m	p	d	mean	sd
0.7	1	5	3	0.7294019199999998	0.1342640885788661
0.7	1	5	4	0.27460608000000003	0.2502069466981155
0.7	1	5	5	0.22511124000000002	0.21143114951090436
0.7	2	3	1	0.4475689199999999	0.23324203901259652
0.7	2	3	2	0.5496702	0.1675459639412421
0.7	2	3	3	0.52610488	0.19854329464543896
0.7	2	3	4	0.5463499999999999	0.16760432332275918
0.7	2	3	5	0.54033504	0.16193841999339872
0.7	2	4	1	0.4699934399999999	0.20095354573872637
0.7	2	4	2	0.8306314	0.10145867047522354
0.7	2	4	3	0.43462436000000004	0.24057387989345477
0.7	2	4	4	0.37103924	0.22217658312572547
0.7	2	4	5	0.39948452	0.21211233087807413
0.7	2	5	1	0.43436383999999995	0.16789406543500696
0.7	2	5	2	0.78495452	0.11765796206823234
0.7	2	5	3	0.8066939199999998	0.10654304832204492
0.7	2	5	4	0.28412196	0.2669318740027845
0.7	2	5	5	0.20454936000000004	0.22203880989320404
0.7	3	3	1	0.02388128	0.06668118934483397
0.7	3	3	2	0.12060612000000001	0.194668499545832
0.7	3	3	3	0.10868972000000002	0.17853545704537685
0.7	3	3	4	0.1653324	0.21422070845592872
0.7	3	3	5	0.12925344	0.2013720205025673
0.7	3	4	1	0.057526280000000006	0.11546909136492589
0.7	3	4	2	0.34105992000000007	0.19856539693872544
0.7	3	4	3	0.406824	0.21993286541888185
0.7	3	4	4	0.44015352	0.17590339171059094
0.7	3	4	5	0.4695912	0.24188908962514205
0.7	3	5	1	0.05609828	0.11711247049363104
0.7	3	5	2	0.26318728	0.18298478777111937
0.7	3	5	3	0.82924616	0.05289982040928306
0.7	3	5	4	0.48680084	0.21427957143174986
0.7	3	5	5	0.44491428	0.20732634565631447
0.8	1	3	1	0.7346414	0.1718326077335731
0.8	1	3	2	0.2271678	0.1942728831096095
0.8	1	3	3	0.29076648000000005	0.21145636497379214
0.8	1	3	4	0.24376908	0.20899759345646446
0.8	1	3	5	0.28916295999999997	0.2514641205968724
0.8	1	4	1	0.7628240000000001	0.16567037191242132
0.8	1	4	2	0.6614075199999999	0.25273634739896356
0.8	1	4	3	0.224278	0.2527119431640697
0.8	1	4	4	0.16922508	0.20882289690518516
0.8	1	4	5	0.16353443999999995	0.19889860480889854
0.8	1	5	1	0.55138436	0.15403187657660475
0.8	1	5	2	0.82803064	0.073577677832821
0.8	1	5	3	0.6338788399999999	0.1967875305586571
0.8	1	5	4	0.2046998	0.22765185648660982
0.8	1	5	5	0.11928856	0.19769914057032825
0.8	2	3	1	0.5331446400000001	0.20840280632676328
0.8	2	3	2	0.61333352	0.10603553243365922
0.8	2	3	3	0.5589273199999999	0.18524591323388917
