f	m	p	d	mean	sd
0.5	3	5	1	0.0	0.0
0.5	3	5	2	0.0	0.0
0.5	3	5	3	0.02	0.13999999999999999
0.5	3	5	4	0.26	0.5219195340279955
0.5	3	5	5	0.24	0.47159304490206383
0.6	1	3	1	0.24	0.5499090833947008
0.6	1	3	2	1.24	0.928654941299512
0.6	1	3	3	1.32	0.947417542586161
0.6	1	3	4	1.64	0.9748846085563152
0.6	1	3	5	1.3	0.8774964387392122
0.6	1	4	1	0.0	0.0
0.6	1	4	2	0.68	0.6462197768561405
0.6	1	4	3	1.88	0.9086253353280438
0.6	1	4	4	2.18	0.7399999999999999
0.6	1	4	5	2.1	0.8774964387392122
0.6	1	5	1	0.0	0.0
0.6	1	5	2	0.02	0.13999999999999999
0.6	1	5	3	0.8	0.6928203230275509
0.6	1	5	4	2.14	0.8248636250920512
0.6	1	5	5	2.08	0.8908422980528036
0.6	2	3	1	0.0	0.0
0.6	2	3	2	0.1	0.36055512754639896
0.6	2	3	3	0.08	0.2712931993250107
0.6	2	3	4	0.18	0.4331281565541543
0.6	2	3	5	0.1	0.3
0.6	2	4	1	0.0	0.0
0.6	2	4	2	0.1	0.3
0.6	2	4	3	0.94	0.8581375181169975
0.6	2	4	4	0.9	0.9848857801796105
0.6	2	4	5	0.8	0.8246211251235321
0.6	2	5	1	0.0	0.0
0.6	2	5	2	0.0	0.0
0.6	2	5	3	0.62	0.66
0.6	2	5	4	1.86	0.8248636250920512
0.6	2	5	5	2.02	0.8829496021857646
0.6	3	3	1	0.0	0.0
0.6	3	3	2	0.0	0.0
0.6	3	3	3	0.04	0.19595917942265428
0.6	3	3	4	0.02	0.13999999999999999
0.6	3	3	5	0.04	0.19595917942265428
0.6	3	4	1	0.0	0.0
0.6	3	4	2	0.0	0.0
0.6	3	4	3	0.08	0.3370459909270544
0.6	3	4	4	0.06	0.23748684174075835
0.6	3	4	5	0.04	0.19595917942265428
0.6	3	5	1	0.0	0.0
0.6	3	5	2	0.0	0.0
0.6	3	5	3	0.0	0.0
0.6	3	5	4	0.4	0.6324555320336759
0.6	3	5	5	0.56	0.7787168933572715
0.7	1	3	1	0.56	0.6053098380168623
0.7	1	3	2	1.62	0.9357350052231668
0.7	1	3	3	1.74	0.9551963149007643
0.7	1	3	4	1.58	1.0409610943738483
0.7	1	3	5	1.72	0.96
0.7	1	4	1	0.04	0.19595917942265426
0.7	1	4	2	0.94	0.7323933369440222
0.7	1	4	3	2.1	0.7
0.7	1	4	4	2.32	0.7332121111929344
